USER_ID,MONTH,THANK_YOU_STATUS,LTR,BOOKINGS,GMV
172175,2018-07-01,no_call,35.959,1,538.764
172585,2018-02-01,no_call,613.41126,15,8201.293
172801,2018-07-01,no_call,40.348,1,524.246
174019,2018-07-01,no_call,46.819619,4,1635.4
174812,2018-05-01,no_call,4.700025,1,820.08
175114,2019-03-01,thank_you_call,60.126,2,900.694
175481,2018-10-01,no_call,41.88118,2,915.62
175792,2018-07-01,no_call,36.245,1,542.997
176131,2018-10-01,thank_you_call,426.419576,21,7270.73
177333,2018-04-01,thank_you_call,107.760598,3,2374.254
177720,2018-06-01,thank_you_call,64.13,2,1166.353
177990,2018-08-01,thank_you_call,17.3877,1,537.438
178398,2018-05-01,thank_you_call,85.855,3,1381.794
180850,2018-03-01,thank_you_call,322.63275,9,7937.759
184688,2019-03-01,no_call,59.990084,4,1208.258
186117,2018-04-01,thank_you_call,88.187,2,1239.419
190418,2018-04-01,no_call,63.404,1,748.731
191834,2018-05-01,thank_you_call,64.372,2,964.41
192721,2018-06-01,thank_you_call,69.080253,8,3479.322
193927,2018-05-01,no_call,154.241208,2,2441.149
194545,2018-06-01,thank_you_call,78.309,5,1625.472
195059,2018-06-01,thank_you_call,40.007,1,599.471
195211,2018-10-01,no_call,60.126,1,781.082
195717,2018-01-01,no_call,48.136,1,721.14
198000,2018-11-01,thank_you_call,154.792,3,2285.14
198908,2018-10-01,no_call,69.124,1,790.483
201781,2018-07-01,no_call,11.11,2,1112.157
201898,2017-12-01,no_call,37.51,1,562.02
202633,2019-03-01,no_call,42.75271,2,1224.476
205052,2018-06-01,no_call,83.108784,19,5316.291
205253,2017-12-01,thank_you_call,29.698372,5,1691.16
206079,2017-12-01,no_call,21.574553,3,2214.284
209327,2018-07-01,thank_you_call,48.466825,3,857.939
209720,2018-02-01,thank_you_call,169.862,5,3991.073
209831,2018-07-01,thank_you_call,52.074,1,676.532
210411,2018-06-01,no_call,5.382564,3,1782.773
210582,2018-01-01,thank_you_call,47.773,1,715.819
210611,2017-12-01,thank_you_call,22.427372,2,1087.065
212047,2018-07-01,no_call,52.382,1,762.059
214118,2018-08-01,thank_you_call,52.503,1,616.607
214377,2018-03-01,thank_you_call,34.683264,2,972.315
214457,2019-04-01,no_call,94.961108,4,2295.136
215309,2018-01-01,thank_you_call,59.471346,3,1058.743
215702,2019-01-01,no_call,157.312342,3,5142.704
215719,2018-12-01,no_call,69.179,3,2201.313
218264,2018-02-01,no_call,66.044,6,1747.974
219922,2018-01-01,thank_you_call,27.002481,1,645.966
222249,2018-02-01,no_call,34.859,1,522.223
223371,2018-06-01,no_call,85.553127,3,1354.339
224745,2017-05-01,no_call,,,
225947,2018-02-01,thank_you_call,74.723,2,1046.962
231660,2018-12-01,thank_you_call,70.697,2,1059.236
231679,2018-07-01,no_call,57.403236,3,945.098
232516,2018-08-01,no_call,35.453,2,766.173
232796,2019-03-01,no_call,12.736999,2,1144.644
234473,2018-03-01,no_call,174.824617,8,2995.366
238022,2018-02-01,thank_you_call,38.56644,3,913.325
239973,2018-12-01,thank_you_call,45.930467,2,818.04
248181,2017-09-01,thank_you_call,75.935552,4,1281.732
248892,2018-01-01,no_call,844.024709,9,13602.329
252725,2018-02-01,no_call,,,
253291,2018-07-01,no_call,266.92952,15,8862.474
255511,2018-02-01,no_call,229.372,5,3953.52
257071,2018-09-01,no_call,419.551,8,8520.009
260155,2017-05-01,no_call,,,
267405,2018-05-01,no_call,92.563977,6,1809.072
268196,2018-01-01,no_call,147.656927,3,2300.117
269894,2018-09-01,thank_you_call,72.270594,4,1468.324
272927,2018-04-01,no_call,310.918091,4,6357.643
274424,2018-03-01,thank_you_call,82.618074,2,1613.929
277275,2019-02-01,thank_you_call,310.442,4,4135.675
280579,2019-02-01,no_call,85.912783,5,1555.653
281148,2018-03-01,thank_you_call,553.248135,14,9637.419
281461,2018-04-01,no_call,68.904,2,958.426
281719,2018-04-01,no_call,63.162176,4,2813.772
285679,2018-12-01,no_call,47.542,1,712.266
286788,2018-03-01,no_call,,,
288899,2018-05-01,thank_you_call,35.224651,7,3360.509
293773,2017-08-01,no_call,48.741,2,728.365
294500,2018-11-01,no_call,65.065,1,751.077
302951,2018-04-01,thank_you_call,37.895,2,1203.651
303056,2018-08-01,no_call,24.209262,3,2598.399
305679,2018-02-01,no_call,212.347223,12,4782.882
306403,2018-07-01,no_call,85.591,4,1155.201
307193,2018-02-01,no_call,698.156129,17,9394.2
307472,2018-06-01,no_call,131.094568,4,3218.712
307584,2018-02-01,thank_you_call,186.439,5,2664.58
307728,2018-01-01,no_call,929.333713,18,14232.672
307854,2019-04-01,no_call,31.184791,4,1500.42
308767,2018-05-01,no_call,90.218469,4,1299.055
309163,2018-04-01,thank_you_call,32.597785,1,800.513
310211,2018-06-01,thank_you_call,159.401,2,2388.279
311374,2018-03-01,thank_you_call,63.214448,5,1741.293
311616,2018-06-01,thank_you_call,61.831,2,870.128
312072,2018-01-01,thank_you_call,381.342621,8,5384.835
314871,2018-02-01,no_call,23.32715,1,572.866
315523,2019-01-01,no_call,29.190744,6,3525.171
316324,2018-01-01,no_call,130.244092,6,2312.425
316399,2018-11-01,thank_you_call,36.311,2,1042.049
316559,2018-02-01,no_call,46.937,1,703.188
316749,2018-07-01,no_call,43.362,1,563.38
316807,2018-06-01,no_call,292.890532,18,4545.987
318276,2018-01-01,thank_you_call,51.308488,2,1243.788
319048,2018-04-01,thank_you_call,99.583,2,1066.427
320088,2018-05-01,thank_you_call,89.8601,3,1884.263
320916,2018-05-01,thank_you_call,53.966,1,724.948
320929,2018-01-01,no_call,,,
321695,2018-04-01,no_call,331.140733,7,5334.107
322086,2018-08-01,no_call,43.725,1,568.038
322326,2018-02-01,thank_you_call,1625.39529,98,31034.928
322949,2019-01-01,thank_you_call,42.614,1,638.418
323450,2018-08-01,thank_you_call,62.153256,2,1011.16
323818,2019-03-01,thank_you_call,96.114524,7,2171.291
324102,2018-04-01,thank_you_call,147.697143,10,2308.056
324180,2018-08-01,no_call,88.491502,5,1345.754
324684,2018-05-01,no_call,93.731,2,2345.541
325491,2019-01-01,no_call,158.16449,5,6226.964
325634,2018-02-01,thank_you_call,356.806153,9,22329.449
328080,2018-05-01,no_call,39.029749,2,1060.307
328405,2018-04-01,thank_you_call,224.459895,11,6444.785
328542,2018-01-01,thank_you_call,84.310182,8,3720.892
329027,2018-11-01,thank_you_call,126.068844,20,11794.311
329153,2018-02-01,no_call,61.831,4,1039.363
329673,2019-02-01,thank_you_call,51.265951,4,1618.434
329762,2018-06-01,no_call,99.792,2,1094.239
330020,2017-10-01,thank_you_call,19.596137,4,1538.891
330024,2018-02-01,thank_you_call,61.072,2,914.804
330170,2018-04-01,thank_you_call,37.642627,4,1323.501
330223,2018-01-01,thank_you_call,32.386596,2,790.415
332315,2018-08-01,thank_you_call,127.435,2,1780.155
332362,2019-05-01,no_call,62.128,1,749.7
332363,2018-06-01,no_call,47.245,1,613.87
332779,2018-07-01,thank_you_call,23.87,2,1194.522
334454,2018-10-01,thank_you_call,149.981986,7,2055.827
334759,2018-11-01,no_call,71.731,3,995.129
335696,2018-01-01,no_call,24.357399,1,603.347
335698,2019-02-01,no_call,64.739356,3,1778.421
336381,2017-12-01,no_call,,,
336516,2018-09-01,thank_you_call,139.240662,3,2229.448
337931,2018-02-01,thank_you_call,13.879338,3,953.105
338773,2018-06-01,no_call,,,
339045,2018-03-01,no_call,40.500119,2,843.982
339235,2018-07-01,thank_you_call,55.979,1,727.209
339298,2018-08-01,thank_you_call,23.892,1,735.097
340116,2018-06-01,thank_you_call,,,
340693,2018-03-01,no_call,77.527835,4,1407.362
341283,2018-12-01,no_call,152.834,6,2314.363
342636,2018-03-01,thank_you_call,118.30302,6,2129.556
343474,2017-12-01,thank_you_call,,,
343591,2019-02-01,no_call,167.64,4,2410.447
343592,2018-06-01,no_call,47.982,1,623.458
343913,2018-08-01,thank_you_call,42.768,1,555.696
343916,2018-06-01,thank_you_call,43.824,1,569.364
345667,2019-02-01,no_call,41.294,2,924.018
345684,2018-04-01,no_call,10.370327,3,2179.213
346287,2019-01-01,no_call,8.481,1,712.181
346323,2018-06-01,no_call,40.909,1,612.952
347145,2018-01-01,thank_you_call,34.276,1,513.468
347988,2017-07-01,thank_you_call,228.008,3,3416.235
348695,2018-09-01,thank_you_call,70.29,2,1053.116
348804,2018-06-01,no_call,30.850457,1,816.408
348863,2018-06-01,thank_you_call,640.189,16,9519.881
